0.025000 	 0.000000
0.075000 	 0.000000
0.125000 	 0.000000
0.175000 	 0.000000
0.225000 	 0.000000
0.275000 	 0.000000
0.325000 	 0.000000
0.375000 	 0.000000
0.425000 	 0.000000
0.475000 	 0.000000
0.525000 	 0.000000
0.575000 	 0.000000
0.625000 	 0.000000
0.675000 	 0.000000
0.725000 	 0.000000
0.775000 	 0.000000
0.825000 	 0.000000
0.875000 	 0.000000
0.925000 	 0.000049
0.975000 	 0.001212
1.025000 	 0.005012
1.075000 	 0.009365
1.125000 	 0.011279
1.175000 	 0.011112
1.225000 	 0.010502
1.275000 	 0.010195
1.325000 	 0.010137
1.375000 	 0.010537
1.425000 	 0.011514
1.475000 	 0.013057
1.525000 	 0.015484
1.575000 	 0.018851
1.625000 	 0.023736
1.675000 	 0.030765
1.725000 	 0.040554
1.775000 	 0.053600
1.825000 	 0.070274
1.875000 	 0.089265
1.925000 	 0.109388
1.975000 	 0.129535
2.025000 	 0.150031
2.075000 	 0.168243
2.125000 	 0.181031
2.175000 	 0.186859
2.225000 	 0.186729
2.275000 	 0.184255
2.325000 	 0.181348
2.375000 	 0.181123
2.425000 	 0.184373
2.475000 	 0.192292
